No(idではない),food_name,nutrient_name,content
143,チャオ　すごいカテキン　クランキー　まぐろ節バラエティ,粗繊維,3
144,チャオ　すごいカテキン　クランキー　まぐろ節バラエティ,灰分,9
145,チャオ　すごいカテキン　クランキー　まぐろ節バラエティ,水分,10
146,チャオ　すごい乳酸菌　すごい乳酸菌クランキー　シーフードバラエティ,タンパク質,30
147,チャオ　すごい乳酸菌　すごい乳酸菌クランキー　シーフードバラエティ,脂質,12
148,チャオ　すごい乳酸菌　すごい乳酸菌クランキー　シーフードバラエティ,粗繊維,3
149,チャオ　すごい乳酸菌　すごい乳酸菌クランキー　シーフードバラエティ,灰分,9
150,チャオ　すごい乳酸菌　すごい乳酸菌クランキー　シーフードバラエティ,水分,10
151,チャオ　すごい乳酸菌　すごい乳酸菌クランキー　まぐろ節・かつお節バラエティ,タンパク質,30
152,チャオ　すごい乳酸菌　すごい乳酸菌クランキー　まぐろ節・かつお節バラエティ,脂質,12
153,チャオ　すごい乳酸菌　すごい乳酸菌クランキー　まぐろ節・かつお節バラエティ,粗繊維,3
154,チャオ　すごい乳酸菌　すごい乳酸菌クランキー　まぐろ節・かつお節バラエティ,灰分,9
155,チャオ　すごい乳酸菌　すごい乳酸菌クランキー　まぐろ節・かつお節バラエティ,水分,10
156,チャオ　すごい乳酸菌　すごい乳酸菌クランキー　チキンバラエティ,タンパク質,30
157,チャオ　すごい乳酸菌　すごい乳酸菌クランキー　チキンバラエティ,脂質,12
158,チャオ　すごい乳酸菌　すごい乳酸菌クランキー　チキンバラエティ,粗繊維,3
159,チャオ　すごい乳酸菌　すごい乳酸菌クランキー　チキンバラエティ,灰分,9
160,チャオ　すごい乳酸菌　すごい乳酸菌クランキー　チキンバラエティ,水分,10
161,チャオ　すごい乳酸菌　すごい乳酸菌クランキー　かつお節バラエティ,タンパク質,30
162,チャオ　すごい乳酸菌　すごい乳酸菌クランキー　かつお節バラエティ,脂質,12
163,チャオ　すごい乳酸菌　すごい乳酸菌クランキー　かつお節バラエティ,粗繊維,3
164,チャオ　すごい乳酸菌　すごい乳酸菌クランキー　かつお節バラエティ,灰分,9
165,チャオ　すごい乳酸菌　すごい乳酸菌クランキー　かつお節バラエティ,水分,10
166,チャオ　すごい乳酸菌　すごい乳酸菌クランキー　まぐろ節バラエティ,タンパク質,30
167,チャオ　すごい乳酸菌　すごい乳酸菌クランキー　まぐろ節バラエティ,脂質,12
168,チャオ　すごい乳酸菌　すごい乳酸菌クランキー　まぐろ節バラエティ,粗繊維,3
169,チャオ　すごい乳酸菌　すごい乳酸菌クランキー　まぐろ節バラエティ,灰分,9
170,チャオ　すごい乳酸菌　すごい乳酸菌クランキー　まぐろ節バラエティ,水分,10
171,チャオ　すごい乳酸菌　すごい乳酸菌クランキー　子ねこ用　まぐろ節ミックス味,タンパク質,30
172,チャオ　すごい乳酸菌　すごい乳酸菌クランキー　子ねこ用　まぐろ節ミックス味,脂質,12
173,チャオ　すごい乳酸菌　すごい乳酸菌クランキー　子ねこ用　まぐろ節ミックス味,粗繊維,3
174,チャオ　すごい乳酸菌　すごい乳酸菌クランキー　子ねこ用　まぐろ節ミックス味,灰分,9
175,チャオ　すごい乳酸菌　すごい乳酸菌クランキー　子ねこ用　まぐろ節ミックス味,水分,10
176,チャオ　すごい乳酸菌　すごい乳酸菌クランキー　本格鰹だし味,タンパク質,30
177,チャオ　すごい乳酸菌　すごい乳酸菌クランキー　本格鰹だし味,脂質,12
178,チャオ　すごい乳酸菌　すごい乳酸菌クランキー　本格鰹だし味,粗繊維,3
179,チャオ　すごい乳酸菌　すごい乳酸菌クランキー　本格鰹だし味,灰分,9
180,チャオ　すごい乳酸菌　すごい乳酸菌クランキー　本格鰹だし味,水分,10
181,チャオ　すごい乳酸菌　すごい乳酸菌クランキー　かつお節ミックス味,タンパク質,30
182,チャオ　すごい乳酸菌　すごい乳酸菌クランキー　かつお節ミックス味,脂質,12
183,チャオ　すごい乳酸菌　すごい乳酸菌クランキー　かつお節ミックス味,粗繊維,3
184,チャオ　すごい乳酸菌　すごい乳酸菌クランキー　かつお節ミックス味,灰分,9
185,チャオ　すごい乳酸菌　すごい乳酸菌クランキー　かつお節ミックス味,水分,10
186,チャオ　すごい乳酸菌　すごい乳酸菌クランキー　まぐろ節ミックス味,タンパク質,30
187,チャオ　すごい乳酸菌　すごい乳酸菌クランキー　まぐろ節ミックス味,脂質,12
188,チャオ　すごい乳酸菌　すごい乳酸菌クランキー　まぐろ節ミックス味,粗繊維,3
189,チャオ　すごい乳酸菌　すごい乳酸菌クランキー　まぐろ節ミックス味,灰分,9
190,チャオ　すごい乳酸菌　すごい乳酸菌クランキー　まぐろ節ミックス味,水分,10
191,チャオ　すごい乳酸菌　クランキー牛乳パック　チキン味,タンパク質,30
192,チャオ　すごい乳酸菌　クランキー牛乳パック　チキン味,脂質,12
193,チャオ　すごい乳酸菌　クランキー牛乳パック　チキン味,粗繊維,3
194,チャオ　すごい乳酸菌　クランキー牛乳パック　チキン味,灰分,9
195,チャオ　すごい乳酸菌　クランキー牛乳パック　チキン味,水分,10
196,チャオ　すごい乳酸菌　クランキー牛乳パック　ほたて味,タンパク質,30
197,チャオ　すごい乳酸菌　クランキー牛乳パック　ほたて味,脂質,12
198,チャオ　すごい乳酸菌　クランキー牛乳パック　ほたて味,粗繊維,3
199,チャオ　すごい乳酸菌　クランキー牛乳パック　ほたて味,灰分,9
200,チャオ　すごい乳酸菌　クランキー牛乳パック　ほたて味,水分,10
201,チャオ　すごい乳酸菌　クランキー牛乳パック　かつお節味,タンパク質,30
202,チャオ　すごい乳酸菌　クランキー牛乳パック　かつお節味,脂質,12
203,チャオ　すごい乳酸菌　クランキー牛乳パック　かつお節味,粗繊維,3
204,チャオ　すごい乳酸菌　クランキー牛乳パック　かつお節味,灰分,9
205,チャオ　すごい乳酸菌　クランキー牛乳パック　かつお節味,水分,10
206,チャオ　すごい乳酸菌　クランキー牛乳パック　まぐろ節味,タンパク質,30
207,チャオ　すごい乳酸菌　クランキー牛乳パック　まぐろ節味,脂質,12
208,チャオ　すごい乳酸菌　クランキー牛乳パック　まぐろ節味,粗繊維,3
209,チャオ　すごい乳酸菌　クランキー牛乳パック　まぐろ節味,灰分,9
210,チャオ　すごい乳酸菌　クランキー牛乳パック　まぐろ節味,水分,10
211,チャオ　クランキー　500gかつお節入り　チキンミックス味,タンパク質,30
212,チャオ　クランキー　500gかつお節入り　チキンミックス味,脂質,12
213,チャオ　クランキー　500gかつお節入り　チキンミックス味,粗繊維,3
214,チャオ　クランキー　500gかつお節入り　チキンミックス味,灰分,9
215,チャオ　クランキー　500gかつお節入り　チキンミックス味,水分,10
216,チャオ　すごい乳酸菌　クランキー　500gかつお節入り　かつおミックス味,タンパク質,30
217,チャオ　すごい乳酸菌　クランキー　500gかつお節入り　かつおミックス味,脂質,12
218,チャオ　すごい乳酸菌　クランキー　500gかつお節入り　かつおミックス味,粗繊維,3
219,チャオ　すごい乳酸菌　クランキー　500gかつお節入り　かつおミックス味,灰分,9
220,チャオ　すごい乳酸菌　クランキー　500gかつお節入り　かつおミックス味,水分,10
221,チャオ　すごい乳酸菌　クランキー　500gかつお節入り　まぐろミックス味,タンパク質,30
222,チャオ　すごい乳酸菌　クランキー　500gかつお節入り　まぐろミックス味,脂質,12
223,チャオ　すごい乳酸菌　クランキー　500gかつお節入り　まぐろミックス味,粗繊維,3
224,チャオ　すごい乳酸菌　クランキー　500gかつお節入り　まぐろミックス味,灰分,9
225,チャオ　すごい乳酸菌　クランキー　500gかつお節入り　まぐろミックス味,水分,10
226,ビューティープロ　キャット　子猫用　１２ヵ月頃まで,タンパク質,40
227,ビューティープロ　キャット　子猫用　１２ヵ月頃まで,脂質,13
228,ビューティープロ　キャット　子猫用　１２ヵ月頃まで,粗繊維,2.5
229,ビューティープロ　キャット　子猫用　１２ヵ月頃まで,灰分,7.5
230,ビューティープロ　キャット　子猫用　１２ヵ月頃まで,水分,10
231,ビューティープロ　キャット　成猫用　１歳から,タンパク質,35
232,ビューティープロ　キャット　成猫用　１歳から,脂質,10.1
233,ビューティープロ　キャット　成猫用　１歳から,粗繊維,4.5
234,ビューティープロ　キャット　成猫用　１歳から,灰分,9
235,ビューティープロ　キャット　成猫用　１歳から,水分,10
236,ビューティープロ　キャット　成猫用　１歳から　チキン味,タンパク質,35
237,ビューティープロ　キャット　成猫用　１歳から　チキン味,脂質,10.1
238,ビューティープロ　キャット　成猫用　１歳から　チキン味,粗繊維,4.5
239,ビューティープロ　キャット　成猫用　１歳から　チキン味,灰分,9
240,ビューティープロ　キャット　成猫用　１歳から　チキン味,水分,10
241,ビューティープロ　キャット　避妊・去勢後用,タンパク質,35
242,ビューティープロ　キャット　避妊・去勢後用,脂質,8.1
243,ビューティープロ　キャット　避妊・去勢後用,粗繊維,5.5
244,ビューティープロ　キャット　避妊・去勢後用,灰分,9
245,ビューティープロ　キャット　避妊・去勢後用,水分,10
246,ビューティープロ　キャット　下部尿路の健康維持　１歳から,タンパク質,35
247,ビューティープロ　キャット　下部尿路の健康維持　１歳から,脂質,10.1
248,ビューティープロ　キャット　下部尿路の健康維持　１歳から,粗繊維,4.5
249,ビューティープロ　キャット　下部尿路の健康維持　１歳から,灰分,9
250,ビューティープロ　キャット　下部尿路の健康維持　１歳から,水分,10
251,ビューティープロ　キャット　下部尿路の健康維持　１歳から　チキン味,タンパク質,35
252,ビューティープロ　キャット　下部尿路の健康維持　１歳から　チキン味,脂質,10.1
253,ビューティープロ　キャット　下部尿路の健康維持　１歳から　チキン味,粗繊維,4.5
254,ビューティープロ　キャット　下部尿路の健康維持　１歳から　チキン味,灰分,9
255,ビューティープロ　キャット　下部尿路の健康維持　１歳から　チキン味,水分,10
256,ビューティープロ　キャット　下部尿路の健康維持　１１歳以上,タンパク質,32
257,ビューティープロ　キャット　下部尿路の健康維持　１１歳以上,脂質,8.5
258,ビューティープロ　キャット　下部尿路の健康維持　１１歳以上,粗繊維,4.5
259,ビューティープロ　キャット　下部尿路の健康維持　１１歳以上,灰分,9
260,ビューティープロ　キャット　下部尿路の健康維持　１１歳以上,水分,10
261,ビューティープロ　キャット　下部尿路の健康維持　低脂肪　１歳から,タンパク質,35
262,ビューティープロ　キャット　下部尿路の健康維持　低脂肪　１歳から,脂質,8.1
263,ビューティープロ　キャット　下部尿路の健康維持　低脂肪　１歳から,粗繊維,5.5
264,ビューティープロ　キャット　下部尿路の健康維持　低脂肪　１歳から,灰分,9
265,ビューティープロ　キャット　下部尿路の健康維持　低脂肪　１歳から,水分,10
266,ビューティープロ　キャット　下部尿路の健康維持　低脂肪　１歳から　チキン味,タンパク質,35
267,ビューティープロ　キャット　下部尿路の健康維持　低脂肪　１歳から　チキン味,脂質,8.1
268,ビューティープロ　キャット　下部尿路の健康維持　低脂肪　１歳から　チキン味,粗繊維,5.5
269,ビューティープロ　キャット　下部尿路の健康維持　低脂肪　１歳から　チキン味,灰分,9
270,ビューティープロ　キャット　下部尿路の健康維持　低脂肪　１歳から　チキン味,水分,10
271,ビューティープロ　キャット　腎臓の健康維持　８歳以上,タンパク質,30
272,ビューティープロ　キャット　腎臓の健康維持　８歳以上,脂質,8.5
273,ビューティープロ　キャット　腎臓の健康維持　８歳以上,粗繊維,4.5
274,ビューティープロ　キャット　腎臓の健康維持　８歳以上,灰分,9
275,ビューティープロ　キャット　腎臓の健康維持　８歳以上,水分,10
276,ビューティープロ　キャット　腎臓の健康維持　１５歳以上,タンパク質,29
277,ビューティープロ　キャット　腎臓の健康維持　１５歳以上,脂質,10
278,ビューティープロ　キャット　腎臓の健康維持　１５歳以上,粗繊維,4.5
279,ビューティープロ　キャット　腎臓の健康維持　１５歳以上,灰分,9
280,ビューティープロ　キャット　腎臓の健康維持　１５歳以上,水分,10
281,コンボ　キャット　シーフードアソート,タンパク質,29
282,コンボ　キャット　シーフードアソート,脂質,9
283,コンボ　キャット　シーフードアソート,粗繊維,3
284,コンボ　キャット　シーフードアソート,灰分,9
285,コンボ　キャット　シーフードアソート,水分,10
286,コンボ　キャット　かつお節入りアソート,タンパク質,29
287,コンボ　キャット　かつお節入りアソート,脂質,9
288,コンボ　キャット　かつお節入りアソート,粗繊維,3
289,コンボ　キャット　かつお節入りアソート,灰分,9
290,コンボ　キャット　かつお節入りアソート,水分,10
291,コンボ　キャット　下部尿路の健康維持アソート,タンパク質,29
292,コンボ　キャット　下部尿路の健康維持アソート,脂質,9
293,コンボ　キャット　下部尿路の健康維持アソート,粗繊維,4.5
294,コンボ　キャット　下部尿路の健康維持アソート,灰分,9
295,コンボ　キャット　下部尿路の健康維持アソート,水分,10
296,コンボ　キャット　毛玉対応アソート,タンパク質,28.5
297,コンボ　キャット　毛玉対応アソート,脂質,9
298,コンボ　キャット　毛玉対応アソート,粗繊維,4.5
299,コンボ　キャット　毛玉対応アソート,灰分,9
300,コンボ　キャット　毛玉対応アソート,水分,10
301,コンボ　キャット　１１歳以上　毛玉対応アソート,タンパク質,27.5
302,コンボ　キャット　１１歳以上　毛玉対応アソート,脂質,8.5
303,コンボ　キャット　１１歳以上　毛玉対応アソート,粗繊維,4.5
304,コンボ　キャット　１１歳以上　毛玉対応アソート,灰分,9
305,コンボ　キャット　１１歳以上　毛玉対応アソート,水分,10
306,コンボ　キャット　１５歳以上　毛玉対応アソート,タンパク質,27.5
307,コンボ　キャット　１５歳以上　毛玉対応アソート,脂質,8.5
308,コンボ　キャット　１５歳以上　毛玉対応アソート,粗繊維,4.5
309,コンボ　キャット　１５歳以上　毛玉対応アソート,灰分,9
310,コンボ　キャット　１５歳以上　毛玉対応アソート,水分,10
311,コンボ　キャット　子ねこ用　ミルクチップ添え,タンパク質,32
312,コンボ　キャット　子ねこ用　ミルクチップ添え,脂質,10.5
313,コンボ　キャット　子ねこ用　ミルクチップ添え,粗繊維,2.5
314,コンボ　キャット　子ねこ用　ミルクチップ添え,灰分,8
315,コンボ　キャット　子ねこ用　ミルクチップ添え,水分,10
316,コンボ　キャット　まぐろ味・カニカマ・小魚添え,タンパク質,29
317,コンボ　キャット　まぐろ味・カニカマ・小魚添え,脂質,9
318,コンボ　キャット　まぐろ味・カニカマ・小魚添え,粗繊維,3
319,コンボ　キャット　まぐろ味・カニカマ・小魚添え,灰分,9
320,コンボ　キャット　まぐろ味・カニカマ・小魚添え,水分,10
321,コンボ　キャット　まぐろ味・かつお節・小魚添え,タンパク質,29
322,コンボ　キャット　まぐろ味・かつお節・小魚添え,脂質,9
323,コンボ　キャット　まぐろ味・かつお節・小魚添え,粗繊維,3
324,コンボ　キャット　まぐろ味・かつお節・小魚添え,灰分,9
325,コンボ　キャット　まぐろ味・かつお節・小魚添え,水分,10
326,コンボ　キャット　かつお味・鮭チップ・かつお節添え,タンパク質,29
327,コンボ　キャット　かつお味・鮭チップ・かつお節添え,脂質,9
328,コンボ　キャット　かつお味・鮭チップ・かつお節添え,粗繊維,3
329,コンボ　キャット　かつお味・鮭チップ・かつお節添え,灰分,9
330,コンボ　キャット　かつお味・鮭チップ・かつお節添え,水分,10
331,コンボ　キャット　まぐろ味・熟成かつお添え,タンパク質,29
332,コンボ　キャット　まぐろ味・熟成かつお添え,脂質,9
333,コンボ　キャット　まぐろ味・熟成かつお添え,粗繊維,3
334,コンボ　キャット　まぐろ味・熟成かつお添え,灰分,9
335,コンボ　キャット　まぐろ味・熟成かつお添え,水分,10
336,コンボ　キャット　肥満が気になる猫用　まぐろ味・かつお節・小魚添え,タンパク質,29
337,コンボ　キャット　肥満が気になる猫用　まぐろ味・かつお節・小魚添え,脂質,8.1
338,コンボ　キャット　肥満が気になる猫用　まぐろ味・かつお節・小魚添え,粗繊維,4.5
339,コンボ　キャット　肥満が気になる猫用　まぐろ味・かつお節・小魚添え,灰分,9
340,コンボ　キャット　肥満が気になる猫用　まぐろ味・かつお節・小魚添え,水分,10
341,コンボ　キャット　下部尿路の健康維持,タンパク質,29
342,コンボ　キャット　下部尿路の健康維持,脂質,9
343,コンボ　キャット　下部尿路の健康維持,粗繊維,4.5
344,コンボ　キャット　下部尿路の健康維持,灰分,9
345,コンボ　キャット　下部尿路の健康維持,水分,10
